,time,crypto,pos,neg,neu,count
418,2023-01-06 00:00:14.010268,Cardano,53,8,39,100
419,2023-01-06 00:00:14.054954,Polygon,69,10,21,100
420,2023-01-06 00:30:08.753107,Bitcoin,53,10,36,99
421,2023-01-06 00:30:08.793403,Ethereum,39,3,58,100
422,2023-01-06 00:30:08.831503,Tether,4,5,91,100
423,2023-01-06 00:30:08.880539,USD Coin,64,5,31,100
424,2023-01-06 00:30:08.932600,BNB,57,17,26,100
425,2023-01-06 00:30:08.975364,XRP,38,11,51,100
426,2023-01-06 00:30:09.020424,Binance USD,2,48,50,100
427,2023-01-06 00:30:09.060802,Dogecoin,34,6,60,100
428,2023-01-06 00:30:09.103692,Cardano,56,12,32,100
429,2023-01-06 00:30:09.146407,Polygon,82,2,16,100
430,2023-01-06 06:30:08.326357,Bitcoin,54,12,34,100
431,2023-01-06 06:30:08.365254,Ethereum,52,8,40,100
432,2023-01-06 06:30:08.404459,Tether,6,8,86,100
433,2023-01-06 06:30:08.453594,USD Coin,49,15,36,100
434,2023-01-06 06:30:08.507129,BNB,76,10,14,100
435,2023-01-06 06:30:08.555506,XRP,51,11,38,100
436,2023-01-06 06:30:08.600301,Binance USD,4,54,42,100
437,2023-01-06 06:30:08.642520,Dogecoin,50,9,41,100
438,2023-01-06 06:30:08.683719,Cardano,41,17,42,100
439,2023-01-06 06:30:08.737111,Polygon,59,13,28,100
440,2023-01-06 09:30:07.191174,Bitcoin,74,3,23,100
441,2023-01-06 09:30:07.228738,Ethereum,67,7,26,100
